page_id,url,window,window_start,window_end,clicks,impressions,ctr,position,truncated,export_id
,https://www.orangejelly.co.uk/licensees-guide/nobody-books-tables-anymore,gsc-16m-all,2025-08-01,2026-09-06,0,3,0,57,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/oktoberfest-pub-guide,gsc-16m-all,2025-08-01,2026-09-06,4,110,0.036364,8.84,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/partnering-local-brands-share-marketing,gsc-16m-all,2025-08-01,2026-09-06,0,259,0,16.35,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pop-up-events-for-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,189,0,28.44,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/premium-pub-positioning,gsc-16m-all,2025-08-01,2026-09-06,0,221,0,60.91,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/prs-ppl-music-licensing-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,96,0,21.36,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pub-business-plan-template-guide,gsc-16m-all,2025-08-01,2026-09-06,0,2,0,38.5,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pub-drinks-menu-design-guide,gsc-16m-all,2025-08-01,2026-09-06,0,57,0,30.81,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pub-empty-tuesday-nights,gsc-16m-all,2025-08-01,2026-09-06,0,8,0,3.25,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pub-event-template-profit-nights,gsc-16m-all,2025-08-01,2026-09-06,0,13,0,75.54,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pub-health-check-essential-fundamentals-licensee-success,gsc-16m-all,2025-08-01,2026-09-06,0,20,0,36.4,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pub-health-safety-checklist,gsc-16m-all,2025-08-01,2026-09-06,0,2,0,12.5,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pub-insurance-cover-guide,gsc-16m-all,2025-08-01,2026-09-06,0,31,0,63.23,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pub-licensing-premises-personal-licence-guide,gsc-16m-all,2025-08-01,2026-09-06,0,4,0,25,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pub-marketing-plan-2026-monthly-guide,gsc-16m-all,2025-08-01,2026-09-06,0,2,0,46,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pub-recruitment-hiring-bar-staff,gsc-16m-all,2025-08-01,2026-09-06,0,16,0,15.44,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/pub-toilet-refurbishment-budget-guide,gsc-16m-all,2025-08-01,2026-09-06,0,11,0,16.36,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/reboot-pub-atmosphere-on-budget,gsc-16m-all,2025-08-01,2026-09-06,0,1,0,9,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/recession-proof-pub-strategies,gsc-16m-all,2025-08-01,2026-09-06,0,2,0,50.5,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/rescue-your-margins-drinks-mix,gsc-16m-all,2025-08-01,2026-09-06,0,3,0,32,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/seasonal-pub-events-calendar,gsc-16m-all,2025-08-01,2026-09-06,0,1,0,83,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/staff-motivation-hacks-no-pay-rise,gsc-16m-all,2025-08-01,2026-09-06,0,16,0,19.56,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/terrible-online-reviews-damage-control,gsc-16m-all,2025-08-01,2026-09-06,0,6,0,65.83,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/upselling-secrets-training-scripts,gsc-16m-all,2025-08-01,2026-09-06,0,3,0,44,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/why-is-my-pub-empty,gsc-16m-all,2025-08-01,2026-09-06,0,196,0,8.22,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/wine-tasting-evenings-for-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,1,0,60,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/young-people-wont-come-to-your-pub,gsc-16m-all,2025-08-01,2026-09-06,0,45,0,29.51,false,gsc-16m-all
,https://www.orangejelly.co.uk/licensees-guide/zero-waste-stock-management-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,17,0,32.12,false,gsc-16m-all
,https://www.orangejelly.co.uk/privacy,gsc-16m-all,2025-08-01,2026-09-06,0,1,0,18,false,gsc-16m-all
,https://www.orangejelly.co.uk/pub-marketing-berkshire,gsc-16m-all,2025-08-01,2026-09-06,0,43,0,76.23,false,gsc-16m-all
,https://www.orangejelly.co.uk/pub-marketing-kent,gsc-16m-all,2025-08-01,2026-09-06,0,5,0,20.4,false,gsc-16m-all
,https://www.orangejelly.co.uk/pub-marketing-london,gsc-16m-all,2025-08-01,2026-09-06,0,2,0,24.5,false,gsc-16m-all
,https://www.orangejelly.co.uk/pub-rescue,gsc-16m-all,2025-08-01,2026-09-06,1,184,0.005435,37.02,false,gsc-16m-all
,https://www.orangejelly.co.uk/quiet-midweek-solutions,gsc-16m-all,2025-08-01,2026-09-06,0,1,0,99,false,gsc-16m-all
,https://www.orangejelly.co.uk/services,gsc-16m-all,2025-08-01,2026-09-06,0,859,0,29.94,false,gsc-16m-all
,https://www.orangejelly.co.uk/services/content-creation-for-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,115,0,2.36,false,gsc-16m-all
,https://www.orangejelly.co.uk/services/facebook-services-for-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,64,0,2.97,false,gsc-16m-all
,https://www.orangejelly.co.uk/services/instagram-services-for-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,55,0,3.2,false,gsc-16m-all
,https://www.orangejelly.co.uk/services/paid-social-for-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,124,0,3.52,false,gsc-16m-all
,https://www.orangejelly.co.uk/services/social-media-marketing-for-pubs,gsc-16m-all,2025-08-01,2026-09-06,0,180,0,8.51,false,gsc-16m-all
,https://www.orangejelly.co.uk/ways-to-work,gsc-16m-all,2025-08-01,2026-09-06,0,766,0,41.76,false,gsc-16m-all
pg_0001,https://www.orangejelly.co.uk/,3m,2026-06-07,2026-09-06,0,17,0,26.88,false,gsc-3m-all
pg_0006,https://www.orangejelly.co.uk/pub-marketing,3m,2026-06-07,2026-09-06,0,153,0,21.33,false,gsc-3m-all
pg_0009,https://www.orangejelly.co.uk/guides,3m,2026-06-07,2026-09-06,0,3,0,17.67,false,gsc-3m-all
pg_0009,https://www.orangejelly.co.uk/licensees-guide,3m,2026-06-07,2026-09-06,0,289,0,40.17,false,gsc-3m-all
pg_0014,https://www.orangejelly.co.uk/about,3m,2026-06-07,2026-09-06,0,2,0,3.5,false,gsc-3m-all
pg_0019,https://www.orangejelly.co.uk/guides/quiz-night-101,3m,2026-06-07,2026-09-06,0,2,0,12.5,false,gsc-3m-all
pg_0019,https://www.orangejelly.co.uk/licensees-guide/quiz-night-101,3m,2026-06-07,2026-09-06,2,310,0.006452,11.53,false,gsc-3m-all
pg_0020,https://www.orangejelly.co.uk/guides/quiz-night-ideas,3m,2026-06-07,2026-09-06,0,17,0,13.71,false,gsc-3m-all
pg_0020,https://www.orangejelly.co.uk/licensees-guide/quiz-night-ideas,3m,2026-06-07,2026-09-06,15,829,0.018094,14.03,false,gsc-3m-all
pg_0021,https://www.orangejelly.co.uk/licensees-guide/profitable-pub-food-menu-ideas,3m,2026-06-07,2026-09-06,0,157,0,15.21,false,gsc-3m-all
pg_0022,https://www.orangejelly.co.uk/licensees-guide/cash-bingo-101,3m,2026-06-07,2026-09-06,7,1422,0.004923,10.79,false,gsc-3m-all
